Time,HR
2017/01/01,100
2017/01/02,100
2017/01/03,100
2017/01/04,100
2017/01/05,101
2017/01/06,101
2017/01/07,101
2017/01/08,101
2017/01/09,101
2017/01/10,101
2017/01/11,101
2017/01/12,101
2017/01/13,101
2017/01/14,101
2017/01/15,101
2017/01/16,101
2017/01/17,101
2017/01/18,101
2017/01/19,100
2017/01/20,100
2017/01/21,100
2017/01/22,99
2017/01/23,99
2017/01/24,98
2017/01/25,98
2017/01/26,97
2017/01/27,97
2017/01/28,97
2017/01/29,97
2017/01/30,96
2017/01/31,96
2017/02/01,95
2017/02/02,94
2017/02/03,94
2017/02/04,93
2017/02/05,92
2017/02/06,91
2017/02/07,90
2017/02/08,89
2017/02/09,88
2017/02/10,86
2017/02/11,85
2017/02/12,83
2017/02/13,81
2017/02/14,80
2017/02/15,79
2017/02/16,78
2017/02/17,79
2017/02/18,80
2017/02/19,81
2017/02/20,83
2017/02/21,85
2017/02/22,88
2017/02/23,90
2017/02/24,92
2017/02/25,94
2017/02/26,95
2017/02/27,96
2017/02/28,96
2017/03/01,96
2017/03/02,95
2017/03/03,94
2017/03/04,92
2017/03/05,90
2017/03/06,88
2017/03/07,86
2017/03/08,84
2017/03/09,83
2017/03/10,82
2017/03/11,82
2017/03/12,82
2017/03/13,82
2017/03/14,83
2017/03/15,85
2017/03/16,87
2017/03/17,88
2017/03/18,90
2017/03/19,92
2017/03/20,93
2017/03/21,94
2017/03/22,94
2017/03/23,94
2017/03/24,93
2017/03/25,92
2017/03/26,90
2017/03/27,88
2017/03/28,86
2017/03/29,84
2017/03/30,82
2017/03/31,79
2017/04/01,77
2017/04/02,75
2017/04/03,73
2017/04/04,71
2017/04/05,69
2017/04/06,68
2017/04/07,67
2017/04/08,67
2017/04/09,67
2017/04/10,68
2017/04/11,69
2017/04/12,70
2017/04/13,72
2017/04/14,73
2017/04/15,74
2017/04/16,75
2017/04/17,76
2017/04/18,77
2017/04/19,77
2017/04/20,77
2017/04/21,76
2017/04/22,76
2017/04/23,76
2017/04/24,76
2017/04/25,77
2017/04/26,78
2017/04/27,79
2017/04/28,81
2017/04/29,83
2017/04/30,84
2017/05/01,86
2017/05/02,88
2017/05/03,90
2017/05/04,92
2017/05/05,93
2017/05/06,94
2017/05/07,95
2017/05/08,96
2017/05/09,96
2017/05/10,95
2017/05/11,95
2017/05/12,94
2017/05/13,94
2017/05/14,94
2017/05/15,94
2017/05/16,94
2017/05/17,95
2017/05/18,96
2017/05/19,97
2017/05/20,99
2017/05/21,100
2017/05/22,101
2017/05/23,103
2017/05/24,104
2017/05/25,105
2017/05/26,107
2017/05/27,108
2017/05/28,109
2017/05/29,111
2017/05/30,112
2017/05/31,113
2017/06/01,114
2017/06/02,115
2017/06/03,116
2017/06/04,117
2017/06/05,117
2017/06/06,118
2017/06/07,119
2017/06/08,120
2017/06/09,120
2017/06/10,120
2017/06/11,120
2017/06/12,120
2017/06/13,119
2017/06/14,118
2017/06/15,116
2017/06/16,113
2017/06/17,111
2017/06/18,109
2017/06/19,107
2017/06/20,105
2017/06/21,103
2017/06/22,102
2017/06/23,101
2017/06/24,101
2017/06/25,100
2017/06/26,99
2017/06/27,99
2017/06/28,98
2017/06/29,97
2017/06/30,96
2017/07/01,95
2017/07/02,94
2017/07/03,93
2017/07/04,91
2017/07/05,90
2017/07/06,88
2017/07/07,87
2017/07/08,86
2017/07/09,84
2017/07/10,83
2017/07/11,83
2017/07/12,82
2017/07/13,82
2017/07/14,83
2017/07/15,83
2017/07/16,84
2017/07/17,84
2017/07/18,84
2017/07/19,85
2017/07/20,85
2017/07/21,85
2017/07/22,86
2017/07/23,87
2017/07/24,88
2017/07/25,89
2017/07/26,90
2017/07/27,91
2017/07/28,90
2017/07/29,89
2017/07/30,87
2017/07/31,85
2017/08/01,83
2017/08/02,80
2017/08/03,78
2017/08/04,75
2017/08/05,74
2017/08/06,73
2017/08/07,72
2017/08/08,72
2017/08/09,72
2017/08/10,73
2017/08/11,74
2017/08/12,74
2017/08/13,75
2017/08/14,75
2017/08/15,76
2017/08/16,76
2017/08/17,77
2017/08/18,79
2017/08/19,80
2017/08/20,82
2017/08/21,85
2017/08/22,87
2017/08/23,89
2017/08/24,90
2017/08/25,92
2017/08/26,93
2017/08/27,95
2017/08/28,97
2017/08/29,99
2017/08/30,101
2017/08/31,103
2017/09/01,106
2017/09/02,108
2017/09/03,111
2017/09/04,113
